"","female","Topic_study","parents","work","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q12_6","Q13_5","Q13_6","Q13_7","Q13_8"
"281",1,2,1,1,5,4,4,3,2,3,5,3,2,4
"282",0,2,0,1,2,4,5,5,4,4,4,2,2,2
"283",0,1,1,1,3,4,4,3,3,3,2,2,3,3
"284",0,1,0,0,3,3,4,3,3,3,4,3,4,4
"285",1,2,0,1,4,4,4,4,4,4,4,5,4,4
"286",0,1,0,1,3,1,1,1,1,1,3,3,4,4
"287",0,1,0,0,4,5,4,4,3,3,4,4,4,4
"288",1,1,0,1,3,4,2,4,1,1,4,4,3,4
"295",1,2,0,1,4,4,4,4,4,4,3,4,4,3
"311",1,1,0,1,4,4,1,3,3,2,4,4,4,4
"338",0,1,0,0,2,4,3,3,3,3,4,4,3,4
"341",1,1,0,1,2,2,2,3,2,2,3,3,4,4
"344",1,1,0,0,4,2,5,3,1,1,2,3,4,5
"357",1,1,0,1,4,3,4,5,2,3,4,4,4,5
"375",1,1,0,0,5,3,3,4,3,3,3,3,3,4
"379",1,2,0,1,3,2,3,2,3,1,4,4,4,3
"393",1,2,0,1,5,2,1,4,2,2,2,2,2,3
"394",1,2,1,1,3,2,2,2,3,4,3,3,2,2
"395",0,2,1,0,1,3,1,1,1,1,4,3,3,4
"396",0,2,0,0,2,2,2,2,3,2,2,2,3,3
"397",1,2,1,1,3,3,4,3,3,4,4,4,4,3
"398",1,2,0,1,3,1,3,4,1,2,3,2,5,4
"399",0,2,0,1,1,2,2,5,2,2,2,4,3,2
"400",0,2,1,1,3,2,4,3,3,4,3,4,3,4
"401",1,2,0,1,3,2,2,3,2,2,4,4,4,4
"402",1,2,1,1,3,4,4,4,3,2,4,4,4,4
"403",0,2,0,0,4,4,4,4,3,4,4,4,4,4
"405",1,2,1,0,3,2,3,1,2,1,5,4,5,4
"406",0,2,1,0,2,2,2,2,2,1,4,2,3,3
"408",0,2,1,1,1,3,2,1,3,2,3,4,4,3
"409",1,1,1,0,5,4,4,5,3,3,5,2,4,4
"410",1,2,1,1,3,2,3,2,2,3,5,4,5,4
"411",1,2,0,1,4,4,4,3,3,3,4,4,3,3
"412",1,2,0,1,5,4,4,3,1,1,3,4,4,4
"413",0,2,1,1,2,3,3,2,3,4,4,3,3,3
"414",1,2,0,0,4,4,2,5,1,5,4,4,3,4
"415",0,2,1,0,3,4,4,2,1,3,4,4,4,4
"416",0,2,1,1,4,4,3,3,3,3,3,3,3,4
"417",1,2,1,1,4,4,4,2,2,2,5,3,4,4
"418",0,2,0,1,2,4,4,4,3,4,2,2,2,4
"419",0,2,1,1,2,1,4,1,1,2,3,2,4,5
"420",0,2,0,1,3,3,3,2,4,2,4,4,4,3
"421",1,2,1,0,2,3,4,4,3,4,5,4,4,5
"422",1,2,1,1,2,2,2,2,3,4,4,4,4,4
"423",1,2,0,1,2,2,2,2,2,2,4,2,4,4
"424",1,2,1,1,4,2,3,2,3,3,4,5,5,5
"425",1,2,0,1,4,2,4,2,4,3,5,4,4,3
"426",0,2,1,1,2,3,4,3,3,3,3,3,3,4
"427",0,2,0,1,2,4,3,2,2,2,2,4,4,4
"428",0,2,1,0,2,2,3,3,3,1,5,4,5,5
"429",0,2,1,1,3,4,5,1,3,2,4,2,4,4
"430",0,2,0,0,3,3,2,3,3,4,3,3,2,3
"431",0,2,1,1,1,1,1,2,2,1,4,4,4,5
"432",0,2,1,1,3,4,4,2,3,3,4,4,3,3
"433",0,2,0,1,2,2,2,3,2,3,4,4,3,3
"434",1,2,1,0,4,4,5,4,2,1,4,4,4,5
"435",0,2,0,1,2,4,4,1,2,1,4,5,2,3
"436",1,2,1,1,3,2,3,2,2,2,4,4,4,4
"437",0,2,1,0,1,1,1,1,3,2,4,3,2,2
"438",0,2,1,1,1,2,4,3,2,3,4,4,3,4
"439",1,2,0,1,5,5,5,2,3,3,3,4,4,4
"440",0,2,1,1,1,1,1,1,3,3,4,5,4,4
"441",0,2,1,1,3,5,5,3,3,1,5,4,5,4
"442",1,2,0,1,3,2,2,3,4,2,4,3,4,4
"443",0,2,1,1,1,3,1,1,1,3,4,3,4,4
"444",1,2,1,1,3,2,4,2,2,2,3,3,4,3
"445",0,2,1,0,3,3,4,2,3,3,5,4,4,4
"446",0,2,1,1,2,2,4,1,2,1,4,4,4,2
"447",0,2,0,1,3,1,3,3,3,3,4,4,4,3
"448",1,2,0,1,2,2,3,4,3,2,4,3,4,4
"449",0,2,1,0,2,4,2,2,4,3,4,4,4,3
"450",1,2,1,1,2,3,4,2,2,2,4,3,5,4
"451",0,2,1,1,2,4,4,3,2,2,4,3,4,4
"452",0,2,1,1,3,4,4,2,1,3,5,5,5,5
"453",1,2,1,0,4,3,4,2,3,5,5,5,4,5
"454",0,2,1,1,1,1,1,1,1,1,4,4,4,4
"455",0,2,1,1,3,2,3,4,3,3,4,5,4,4
"456",0,2,1,1,3,4,4,4,2,1,5,5,5,5
"457",0,2,1,1,1,2,1,2,3,2,2,2,5,3
"458",0,2,1,1,4,3,2,2,4,2,4,3,3,3
"459",1,2,0,1,3,3,5,5,3,3,2,3,3,2
"460",0,2,1,1,3,3,4,3,3,4,2,4,3,3
"461",0,2,1,1,2,2,3,3,2,2,4,3,3,3
"462",0,2,1,1,2,1,2,3,2,1,4,3,4,4
"463",0,2,0,0,4,5,4,3,4,3,3,3,3,3
"464",1,2,0,1,5,2,4,3,2,3,3,3,4,4
"465",1,2,1,0,2,2,3,2,2,2,4,4,4,2
"466",1,2,1,1,4,3,3,2,3,4,3,4,4,2
"467",0,2,0,1,4,4,4,4,3,4,4,3,4,4
"468",0,2,0,0,2,4,2,3,3,4,2,1,5,1
"469",0,2,1,1,2,2,2,2,2,2,3,4,4,4
"470",0,2,1,1,3,3,3,2,3,4,2,2,4,4
"471",1,2,0,0,2,5,5,5,4,4,1,1,1,2
"472",1,2,1,1,2,2,2,3,4,2,4,4,4,3
"473",0,2,0,1,2,1,3,3,3,2,5,4,5,4
"474",0,2,0,1,3,1,1,2,1,2,4,4,4,4
"475",0,2,1,1,5,5,4,2,4,3,5,4,3,5
"476",0,2,0,1,5,2,4,1,2,1,2,2,2,4
"477",1,2,1,1,2,4,4,4,2,2,4,3,4,4
"478",0,2,1,0,3,3,5,5,3,4,4,4,4,3
"479",0,2,1,0,4,4,1,4,2,4,4,4,4,5
"480",1,2,0,1,3,2,2,3,3,2,4,5,5,4
"481",0,2,1,1,3,2,3,2,2,2,2,2,3,3
"482",0,2,1,1,1,2,2,3,1,1,2,2,3,2
"483",1,2,0,1,4,2,5,4,2,2,4,4,5,5
"484",0,2,1,0,1,1,2,4,4,4,5,5,5,3
"485",1,1,1,1,2,2,3,3,3,4,2,4,3,4
"486",0,2,1,1,2,5,5,5,4,4,4,5,2,2
"487",1,2,1,0,4,4,4,4,4,4,4,2,3,3
"488",0,2,1,1,2,2,2,4,3,2,4,2,4,2
"489",0,2,1,1,2,4,3,2,3,2,4,4,4,4
"490",0,2,1,1,3,3,5,1,4,1,5,3,2,3
"491",0,2,1,1,2,3,4,3,2,2,4,2,4,4
"492",0,2,1,1,4,2,5,2,4,4,3,4,4,4
"493",0,2,1,1,1,1,2,3,2,1,4,4,4,4
"494",0,2,1,1,1,3,2,4,4,1,4,3,2,4
"495",0,2,0,0,4,3,4,2,2,3,4,3,4,3
"496",1,2,0,1,1,1,2,2,1,1,4,4,4,4
"497",0,2,1,1,3,3,3,4,4,1,4,4,4,4
"498",1,2,1,1,3,3,3,5,3,2,4,3,2,2
"499",0,2,1,1,4,4,4,4,3,3,4,4,4,4
"500",0,2,0,1,4,5,5,5,4,4,4,3,4,4
"501",1,2,0,1,5,3,5,5,4,3,4,4,2,4
"502",0,2,1,1,3,4,5,1,3,2,3,4,4,4
"503",1,2,1,1,2,4,3,2,2,2,4,2,3,4
"504",0,2,0,0,4,1,4,2,3,3,4,3,3,3
"505",1,2,0,1,2,2,3,2,2,2,4,3,4,4
"506",0,2,0,0,2,3,3,4,3,4,4,2,4,3
"507",1,2,1,0,3,3,2,2,4,1,4,4,4,4
"508",0,2,0,1,5,3,4,5,3,5,3,5,3,4
"509",0,2,0,0,4,4,3,4,3,3,4,5,4,5
"510",0,2,0,1,3,4,3,4,4,3,3,3,3,4
"511",0,2,1,1,1,3,3,4,4,4,2,4,4,2
"512",0,2,1,1,2,4,5,4,4,3,5,5,4,4
"513",0,2,0,1,3,1,4,1,2,1,2,4,4,4
"514",1,2,0,1,3,2,3,2,2,2,4,4,4,3
"515",0,2,1,1,2,3,4,2,1,2,4,5,4,4
"516",1,2,1,1,4,2,4,4,4,2,2,4,4,4
"517",0,2,1,1,1,2,2,1,2,3,4,5,5,4
"518",0,2,1,1,2,3,3,4,2,4,2,2,4,4
"519",0,2,1,1,3,3,4,3,3,3,3,4,4,4
"520",0,2,1,1,4,3,2,1,2,1,4,2,4,2
"522",0,2,1,0,2,4,4,4,2,4,4,5,5,4
"523",0,2,1,1,4,4,3,4,4,4,2,3,3,2
"524",0,2,1,1,2,2,4,2,2,4,4,4,4,4
"525",0,2,1,1,1,4,3,3,3,3,3,3,3,3
